cedula,nombre,apellido1,apellido2,cantidad_compras
1,Lefty,Rivitt,lrivitt0@dyndns.org,44
2,Richmond,Waszczyk,rwaszczyk1@cbslocal.com,54
3,Travers,McElvogue,tmcelvogue2@pbs.org,35
4,Tye,Pomfrett,tpomfrett3@wikia.com,79
5,Felipe,Wernham,fwernham4@shareasale.com,26
6,Thaine,Hamblin,thamblin5@blogger.com,10
7,Emylee,McLeary,emcleary6@bing.com,47
8,Decca,Duffett,dduffett7@mozilla.com,99
9,Rana,Goodbarr,rgoodbarr8@census.gov,42
10,Bobbie,Carlet,bcarlet9@nature.com,28
11,Marylee,Tregido,mtregidoa@mapquest.com,38
12,Christiano,Base,cbaseb@example.com,97
13,Glynn,Skakunas,gskakunasc@delicious.com,5
14,Myrtle,Checkley,mcheckleyd@nasa.gov,77
15,Corbie,Hanne,channee@sfgate.com,83
16,Greta,Phizackerly,gphizackerlyf@reverbnation.com,33
17,Mufinella,Bengochea,mbengocheag@hubpages.com,77
18,Robert,Gledstane,rgledstaneh@theatlantic.com,54
19,Nathan,Thornewill,nthornewilli@amazon.com,8
20,Ezequiel,Harniman,eharnimanj@e-recht24.de,90
21,Denis,Houtbie,dhoutbiek@purevolume.com,47
22,Pearla,Lissandri,plissandril@mashable.com,11
23,Danielle,Finlaison,dfinlaisonm@aol.com,7
24,Axel,Varren,avarrenn@noaa.gov,19
25,Reyna,Stronough,rstronougho@umn.edu,77
26,Skylar,Thiolier,sthiolierp@tiny.cc,1
27,Zach,Sivyer,zsivyerq@google.com.br,1
28,Katharine,Mecozzi,kmecozzir@etsy.com,95
29,Tracy,Hamon,thamons@psu.edu,23
30,Fania,Stanfield,fstanfieldt@posterous.com,28
31,Rriocard,Sowersby,rsowersbyu@narod.ru,13
32,Lin,Gregg,lgreggv@google.com.hk,42
33,Keir,Rubenovic,krubenovicw@mayoclinic.com,33
34,Fonsie,Wasling,fwaslingx@scribd.com,32
35,Averell,Josland,ajoslandy@fotki.com,49
36,Eulalie,Wallington,ewallingtonz@ucla.edu,76
37,Priscella,Andrivel,pandrivel10@livejournal.com,30
38,Toma,Bontoft,tbontoft11@sourceforge.net,15
39,Hamnet,Haselup,hhaselup12@wisc.edu,10
40,Kylynn,McCaghan,kmccaghan13@census.gov,19
41,Franzen,Ottee,fottee14@mashable.com,61
42,Rollin,Nisuis,rnisuis15@friendfeed.com,93
43,Maureene,Verrico,mverrico16@symantec.com,12
44,Mirabella,Dmitriev,mdmitriev17@harvard.edu,56
45,Randa,Arnout,rarnout18@baidu.com,82
46,Anitra,Filon,afilon19@ebay.com,36
47,Cathlene,O'Bruen,cobruen1a@furl.net,89
48,Tomlin,Airth,tairth1b@seattletimes.com,92
49,Dolley,Gilyott,dgilyott1c@bing.com,45
50,Ivy,Miranda,imiranda1d@google.co.jp,70
51,Valene,Hynes,vhynes1e@rediff.com,82
52,Derrek,De Angelo,ddeangelo1f@mozilla.org,9
53,Hartwell,Mudd,hmudd1g@nifty.com,9
54,Dame,Shorthill,dshorthill1h@nyu.edu,90
55,Fabian,Breckell,fbreckell1i@goo.ne.jp,97
56,Phillipp,Michelmore,pmichelmore1j@i2i.jp,26
57,Kayle,Decourt,kdecourt1k@statcounter.com,98
58,Rosco,O'Farrell,rofarrell1l@howstuffworks.com,93
59,Gussi,Rayman,grayman1m@goodreads.com,96
60,Gayelord,Babonau,gbabonau1n@cbc.ca,28
61,Emeline,Prise,eprise1o@youtube.com,87
62,Franz,Poetz,fpoetz1p@fc2.com,13
63,Morey,Blaksland,mblaksland1q@mtv.com,97
64,Arnaldo,Bille,abille1r@google.fr,76
65,Towny,Jaqueme,tjaqueme1s@woothemes.com,50
66,Bink,Skaife d'Ingerthorpe,bskaifedingerthorpe1t@ustream.tv,44
67,Mahmud,Mount,mmount1u@meetup.com,42
68,Ollie,Rentoll,orentoll1v@people.com.cn,63
